"","Interact","Canopy","Lat","Elevation","Dist_continent","Number_neighbors","Reptile_diversity","per_built","log_per_crop","log_Area","log_Age","sqrt_mammal.visits","per_forest","inv_bird_diversity","log_GPC","log_dist_road","log_dist_built","Native_plants","log_road_length","near_length","elevation_range","log_tourist","sqrt_bird_visits","log_mass_effect"
"Interact",1,0.167981493397015,0.187120550271232,-0.242157263980496,0.217951874327239,0.242560601157613,-0.205153109968222,0.198791322720174,-0.142994222752312,-0.032117014706423,-0.165127784538148,0.538213376740717,-0.0593025707355641,0.061560033946552,0.387582278697306,0.111965060264989,-0.35452813768196,-0.269906340144237,-0.0675448628310111,-0.376726076331528,0.0974479852104655,-0.0607711273594642,0.300488790082103,-0.192547799872437
"Canopy",0.167981493397015,1,0.0664633471769531,0.113927742895826,0.0554104505406933,0.210471691745005,0.308688093491227,-0.061173084957906,-0.159188510593933,0.0566308109445458,0.31212147395465,0.141705819795637,0.0501396594724964,-0.317012269105588,0.239218292362214,-0.3641328791744,-0.276409297207833,-0.04901149591047,0.116865031331307,-0.0438282478379892,-0.184169885684241,0.0750060231329302,0.0308169418892492,0.241402569825637
"Lat",0.187120550271232,0.0664633471769531,1,-0.0569364067358294,0.998000526311948,0.850704449087693,-0.436314598813712,0.213401717710019,-0.173330199988161,-0.628639459266647,-0.688933052953638,-0.273061877218963,-0.823525785680926,0.717333267431995,0.489608113661601,0.282930531074497,-0.468666450149637,-0.680116335584153,-0.57675402817496,0.147299153127069,-0.00804350294817466,-0.391104351431612,-0.0167744006080352,-0.616780019339211
"Elevation",-0.242157263980496,0.113927742895826,-0.0569364067358294,1,-0.0766105677672455,-0.0222848830946234,-0.385579135818813,-0.474006370959406,0.160988675170581,0.278417226638063,-0.112605034981393,0.334381541236871,0.285578064071232,-0.409954550803146,-0.438287799370296,-0.154413696509203,0.64889585784843,0.523424495429205,0.303991489346783,-0.312863593629163,0.705268079902334,0.258168147260113,-0.2715978019645,0.167493298570361
"Dist_continent",0.217951874327239,0.0554104505406933,0.998000526311948,-0.0766105677672455,1,0.836672335711471,-0.44031117853544,0.228504102300116,-0.166447552768053,-0.615369387624478,-0.679408812999515,-0.259956252248468,-0.818430115003721,0.71569370744741,0.478629522005228,0.280378871938921,-0.46995136149528,-0.688207292590115,-0.563515432299167,0.133083832792664,-0.0126865186452964,-0.380045628493893,-0.00525462539552254,-0.620324898204622
"Number_neighbors",0.242560601157613,0.210471691745005,0.850704449087693,-0.0222848830946234,0.836672335711471,1,-0.124909302707364,0.215930211868681,-0.0375923708869238,-0.54675913554625,-0.599130632613816,-0.0142353902167167,-0.709882738923593,0.473779664086787,0.672774198060667,0.491126407125035,-0.409984342552291,-0.61812573777176,-0.492713335772904,-0.116623189807506,0.00931670615278344,-0.296257673425529,-0.218558402733322,-0.467894892811819
"Reptile_diversity",-0.205153109968222,0.308688093491227,-0.436314598813712,-0.385579135818813,-0.44031117853544,-0.124909302707364,1,0.244090382393474,0.394695183667999,0.382131903119507,0.655912637464389,0.0410147473237505,0.177535079917308,-0.457956992484751,0.0723663650519572,-0.0772491539293454,-0.00849091391918203,0.194269253342172,0.374482648085338,0.118982624498675,-0.431347312420717,0.345228834078111,-0.30626640766512,0.505916578310464
"per_built",0.198791322720174,-0.061173084957906,0.213401717710019,-0.474006370959406,0.228504102300116,0.215930211868681,0.244090382393474,1,0.498610654844756,-0.0752581944844734,0.245530197331194,0.0439177105077353,-0.579876513993856,0.067210169270028,0.401874310572521,0.163412423174034,-0.319768106610653,-0.381169429848773,0.0273970429736953,0.00927313203401133,-0.425508423506184,0.364274996398371,-0.198693021009397,-0.223557608472742
"log_per_crop",-0.142994222752312,-0.159188510593933,-0.173330199988161,0.160988675170581,-0.166447552768053,-0.0375923708869238,0.394695183667999,0.498610654844756,1,0.635590595370089,0.409243244997271,0.32018947154076,-0.0354190099438694,-0.477281792052474,-0.182887216900854,-0.00462000855224227,0.555229127542878,0.404502220653403,0.684254946843963,-0.117077214211866,0.275778518696431,0.822024590022276,-0.468133325682325,0.205050944856856
"log_Area",-0.032117014706423,0.0566308109445458,-0.628639459266647,0.278417226638063,-0.615369387624478,-0.54675913554625,0.382131903119507,-0.0752581944844734,0.635590595370089,1,0.63916964656388,0.43654529890962,0.58483758274675,-0.739078684355888,-0.50929935162159,-0.387395091667349,0.723322045653222,0.850558257870923,0.973752710785563,-0.141027338680185,0.460114865013035,0.822959970940471,-0.185923611762474,0.601094862545976
"log_Age",-0.165127784538148,0.31212147395465,-0.688933052953638,-0.112605034981393,-0.679408812999515,-0.599130632613816,0.655912637464389,0.245530197331194,0.409243244997271,0.63916964656388,1,0.0779944991514811,0.333700068511846,-0.762243263393449,-0.209782632296582,-0.455503335408321,0.176507362832149,0.518825087618235,0.651542226882261,0.0827172334493662,-0.322452411909024,0.585372553288115,0.0609237184504842,0.741493601949616
"sqrt_mammal.visits",0.538213376740717,0.141705819795637,-0.273061877218963,0.334381541236871,-0.259956252248468,-0.0142353902167167,0.0410147473237505,0.0439177105077353,0.32018947154076,0.43654529890962,0.0779944991514811,1,0.412013594427918,-0.548518773842774,0.0303907464443178,-0.067053555422574,0.396883820022558,0.274409899595795,0.443538751630305,-0.648989930281642,0.473447102865728,0.463754171635962,-0.356698561361542,0.169334980286172
"per_forest",-0.0593025707355641,0.0501396594724964,-0.823525785680926,0.285578064071232,-0.818430115003721,-0.709882738923593,0.177535079917308,-0.579876513993856,-0.0354190099438694,0.58483758274675,0.333700068511846,0.412013594427918,1,-0.574670836360703,-0.596307950334138,-0.288811402284982,0.585659394880544,0.618126330559711,0.533364022947977,-0.314872349107183,0.347084442624132,0.258897319948491,-0.0161832349457102,0.392640579456464
"inv_bird_diversity",0.061560033946552,-0.317012269105588,0.717333267431995,-0.409954550803146,0.71569370744741,0.473779664086787,-0.457956992484751,0.067210169270028,-0.477281792052474,-0.739078684355888,-0.762243263393449,-0.548518773842774,-0.574670836360703,1,0.310412441626277,0.41314537117539,-0.533436007881189,-0.721607631220693,-0.73058058084464,0.271165893443295,-0.156614676709964,-0.625131462048487,0.149334337312277,-0.781002728689194
"log_GPC",0.387582278697306,0.239218292362214,0.489608113661601,-0.438287799370296,0.478629522005228,0.672774198060667,0.0723663650519572,0.401874310572521,-0.182887216900854,-0.50929935162159,-0.209782632296582,0.0303907464443178,-0.596307950334138,0.310412441626277,1,0.272641750622409,-0.618051274400039,-0.61580574186094,-0.473494536711953,-0.033953068104972,-0.361050346376757,-0.303292350707353,0.108981928423853,-0.155085883515504
"log_dist_road",0.111965060264989,-0.3641328791744,0.282930531074497,-0.154413696509203,0.280378871938921,0.491126407125035,-0.0772491539293454,0.163412423174034,-0.00462000855224227,-0.387395091667349,-0.455503335408321,-0.067053555422574,-0.288811402284982,0.41314537117539,0.272641750622409,1,-0.142496677841587,-0.418817520260131,-0.333034556633423,-0.515502249420472,0.0224762023917596,-0.167835636825363,-0.238595728334116,-0.524588256985277
"log_dist_built",-0.35452813768196,-0.276409297207833,-0.468666450149637,0.64889585784843,-0.46995136149528,-0.409984342552291,-0.00849091391918203,-0.319768106610653,0.555229127542878,0.723322045653222,0.176507362832149,0.396883820022558,0.585659394880544,-0.533436007881189,-0.618051274400039,-0.142496677841587,1,0.751034785003693,0.733616224736977,-0.311309154120553,0.741751048821549,0.637180952899049,-0.40175289810458,0.295902616370484
"Native_plants",-0.269906340144237,-0.04901149591047,-0.680116335584153,0.523424495429205,-0.688207292590115,-0.61812573777176,0.194269253342172,-0.381169429848773,0.404502220653403,0.850558257870923,0.518825087618235,0.274409899595795,0.618126330559711,-0.721607631220693,-0.61580574186094,-0.418817520260131,0.751034785003693,1,0.773988561004529,0.00745981981353198,0.505888444105868,0.565966110702482,-0.0981411948516172,0.715675500706218
"log_road_length",-0.0675448628310111,0.116865031331307,-0.57675402817496,0.303991489346783,-0.563515432299167,-0.492713335772904,0.374482648085338,0.0273970429736953,0.684254946843963,0.973752710785563,0.651542226882261,0.443538751630305,0.533364022947977,-0.73058058084464,-0.473494536711953,-0.333034556633423,0.733616224736977,0.773988561004529,1,-0.241670820985463,0.445979980685759,0.912986452290719,-0.282425407422105,0.513652981536562
"near_length",-0.376726076331528,-0.0438282478379892,0.147299153127069,-0.312863593629163,0.133083832792664,-0.116623189807506,0.118982624498675,0.00927313203401133,-0.117077214211866,-0.141027338680185,0.0827172334493662,-0.648989930281642,-0.314872349107183,0.271165893443295,-0.033953068104972,-0.515502249420472,-0.311309154120553,0.00745981981353198,-0.241670820985463,1,-0.38323274013307,-0.318157460892713,0.315858258581126,0.165817886891878
"elevation_range",0.0974479852104655,-0.184169885684241,-0.00804350294817466,0.705268079902334,-0.0126865186452964,0.00931670615278344,-0.431347312420717,-0.425508423506184,0.275778518696431,0.460114865013035,-0.322452411909024,0.473447102865728,0.347084442624132,-0.156614676709964,-0.361050346376757,0.0224762023917596,0.741751048821549,0.505888444105868,0.445979980685759,-0.38323274013307,1,0.357578467292204,-0.218408485557989,-0.0670315194969381
"log_tourist",-0.0607711273594642,0.0750060231329302,-0.391104351431612,0.258168147260113,-0.380045628493893,-0.296257673425529,0.345228834078111,0.364274996398371,0.822024590022276,0.822959970940471,0.585372553288115,0.463754171635962,0.258897319948491,-0.625131462048487,-0.303292350707353,-0.167835636825363,0.637180952899049,0.565966110702482,0.912986452290719,-0.318157460892713,0.357578467292204,1,-0.47659153289293,0.30865763457954
"sqrt_bird_visits",0.300488790082103,0.0308169418892492,-0.0167744006080352,-0.2715978019645,-0.00525462539552254,-0.218558402733322,-0.30626640766512,-0.198693021009397,-0.468133325682325,-0.185923611762474,0.0609237184504842,-0.356698561361542,-0.0161832349457102,0.149334337312277,0.108981928423853,-0.238595728334116,-0.40175289810458,-0.0981411948516172,-0.282425407422105,0.315858258581126,-0.218408485557989,-0.47659153289293,1,0.0796958375084083
"log_mass_effect",-0.192547799872437,0.241402569825637,-0.616780019339211,0.167493298570361,-0.620324898204622,-0.467894892811819,0.505916578310464,-0.223557608472742,0.205050944856856,0.601094862545976,0.741493601949616,0.169334980286172,0.392640579456464,-0.781002728689194,-0.155085883515504,-0.524588256985277,0.295902616370484,0.715675500706218,0.513652981536562,0.165817886891878,-0.0670315194969381,0.30865763457954,0.0796958375084083,1
